기준일자,종목코드,종목명,시장명,소속부,종가,전일대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
20230707,000270,기아,KOSPI,-,87900,-1100,-1.24,88100,88400,86700,982277,86171193800,35339685443700,402044203
20230707,035720,카카오,KOSPI,-,49850,-1050,-2.06,50600,51200,49750,1974639,99303217600,22146525006500,444263290
20230707,003490,대한항공,KOSPI,-,25050,-450,-1.76,25350,25450,24850,1151081,28902091950,9223927558050,368220661
20230707,005380,현대차,KOSPI,-,204000,-2500,-1.21,205500,206000,202500,476427,97079891000,43152427224000,211531506
20230707,068270,셀트리온,KOSPI,-,148600,-4000,-2.62,151900,153000,148600,524598,78744692000,21753682093200,146390862
20230707,028260,삼성물산,KOSPI,-,100100,-2200,-2.15,101800,102200,100100,342021,34471591900,18577726167000,185591670
20230707,012330,현대모비스,KOSPI,-,232500,-500,-0.21,232000,234000,229000,162036,37637305500,21921284355000,94285094
20230707,086790,하나금융지주,KOSPI,-,37700,-300,-0.79,37700,38100,37500,1010163,38078337750,11155561045200,295903476
20230707,000810,삼성화재,KOSPI,-,222000,-1000,-0.45,222000,224000,220500,71456,15888464000,10517213814000,47374837
20230707,003550,LG,KOSPI,-,82800,0,0.00,82800,83800,82200,191527,15864076600,13024522220400,157300993
20230707,015760,한국전력,KOSPI,-,19490,-560,-2.79,19850,20050,19430,1632376,31973065900,12511879860730,641964077
20230707,034730,SK,KOSPI,-,140200,-3300,-2.30,142800,142800,139500,245180,34436577600,10262405725800,73198329
20230707,024110,기업은행,KOSPI,-,10100,-40,-0.39,10140,10180,10020,995278,10016416220,8054001276900,797425869
20230707,030200,KT,KOSPI,-,29300,-200,-0.68,29350,29450,29050,932348,27213114227,7650575974400,261111808
20230707,000270,기아,KOSPI,-,87900,-1100,-1.24,88100,88400,86700,982277,86171193800,35339685443700,402044203
20230707,000270,기아,KOSPI,-,87900,-1100,-1.24,88100,88400,86700,982277,86171193800,35339685443700,402044203
20230707,005380,현대차,KOSPI,-,204000,-2500,-1.21,205500,206000,202500,476427,97079891000,43152427224000,211531506
20230707,352820,하이브,KOSPI,-,286000,6500,2.33,280000,289500,280000,277604,79126040000,11912499742000,41652097
20230707,010130,고려아연,KOSPI,-,444500,-18500,-4.00,459000,459500,440000,107938,48072647000,8829173731000,19863158
20230707,090430,아모레퍼시픽,KOSPI,-,94700,-300,-0.32,94200,95300,93900,183421,17346842900,5539264277300,58492759
20230707,001570,금양,KOSPI,-,83000,9400,12.77,74200,87800,74000,9965616,813316851200,4818153071000,58050037
20230707,251270,넷마블,KOSPI,-,44900,-1550,-3.34,45800,45800,44300,257349,11534203550,3859312239800,85953502
